t,i,a,n,heavy,het,method,time (ns)
104,7,8,262144,false,2%,orx-4-0,10845730
105,7,9,262144,false,2%,orx-4-1,23611691
106,7,10,262144,false,2%,orx-fixed-auto-4-0,10894555
107,7,11,262144,false,2%,orx-fixed-auto-4-1,16221729
108,7,12,262144,false,2%,rayon-16,7687834
109,7,13,262144,false,2%,orx-16-0,5478827
110,7,14,262144,false,2%,orx-16-1,29334123
111,7,15,262144,false,2%,orx-fixed-auto-16-0,5710023
112,7,16,262144,false,2%,orx-fixed-auto-16-1,20353720
113,8,1,262144,false,5%,seq,73571956
114,8,2,262144,false,5%,rayon-1,71170914
115,8,3,262144,false,5%,orx-1-0,70003851
116,8,4,262144,false,5%,orx-1-1,70161802
117,8,5,262144,false,5%,orx-fixed-auto-1-0,70266056
118,8,6,262144,false,5%,orx-fixed-auto-1-1,69438243
119,8,7,262144,false,5%,rayon-4,21105172
120,8,8,262144,false,5%,orx-4-0,21291388
121,8,9,262144,false,5%,orx-4-1,29817672
122,8,10,262144,false,5%,orx-fixed-auto-4-0,21481043
123,8,11,262144,false,5%,orx-fixed-auto-4-1,25220416
124,8,12,262144,false,5%,rayon-16,13179258
125,8,13,262144,false,5%,orx-16-0,10140289
126,8,14,262144,false,5%,orx-16-1,29013138
127,8,15,262144,false,5%,orx-fixed-auto-16-0,10374479
128,8,16,262144,false,5%,orx-fixed-auto-16-1,19941042
129,9,1,262144,false,10%,seq,131897641
130,9,2,262144,false,10%,rayon-1,128068987
131,9,3,262144,false,10%,orx-1-0,123673445
132,9,4,262144,false,10%,orx-1-1,124675136
133,9,5,262144,false,10%,orx-fixed-auto-1-0,125116982
134,9,6,262144,false,10%,orx-fixed-auto-1-1,125393072
135,9,7,262144,false,10%,rayon-4,37338873
136,9,8,262144,false,10%,orx-4-0,37171237
137,9,9,262144,false,10%,orx-4-1,43613232
138,9,10,262144,false,10%,orx-fixed-auto-4-0,37186366
139,9,11,262144,false,10%,orx-fixed-auto-4-1,40666977
140,9,12,262144,false,10%,rayon-16,21235383
141,9,13,262144,false,10%,orx-16-0,19090922
142,9,14,262144,false,10%,orx-16-1,31694503
143,9,15,262144,false,10%,orx-fixed-auto-16-0,19161518
144,9,16,262144,false,10%,orx-fixed-auto-16-1,23233285
145,10,1,262144,true,2%,seq,435491082
146,10,2,262144,true,2%,rayon-1,419821251
147,10,3,262144,true,2%,orx-1-0,429416839
148,10,4,262144,true,2%,orx-1-1,415131327
149,10,5,262144,true,2%,orx-fixed-auto-1-0,422070556
150,10,6,262144,true,2%,orx-fixed-auto-1-1,424433106
151,10,7,262144,true,2%,rayon-4,122306938
152,10,8,262144,true,2%,orx-4-0,122818483
153,10,9,262144,true,2%,orx-4-1,130103922
154,10,10,262144,true,2%,orx-fixed-auto-4-0,123534650
155,10,11,262144,true,2%,orx-fixed-auto-4-1,124211912
156,10,12,262144,true,2%,rayon-16,61272780
157,10,13,262144,true,2%,orx-16-0,65279124
158,10,14,262144,true,2%,orx-16-1,70846749
159,10,15,262144,true,2%,orx-fixed-auto-16-0,67095567
160,10,16,262144,true,2%,orx-fixed-auto-16-1,67366760
161,11,1,262144,true,5%,seq,756131036
162,11,2,262144,true,5%,rayon-1,743464824
163,11,3,262144,true,5%,orx-1-0,759169147
164,11,4,262144,true,5%,orx-1-1,750469409
165,11,5,262144,true,5%,orx-fixed-auto-1-0,786493290
166,11,6,262144,true,5%,orx-fixed-auto-1-1,781230935
167,11,7,262144,true,5%,rayon-4,229473747
168,11,8,262144,true,5%,orx-4-0,221150800
169,11,9,262144,true,5%,orx-4-1,228221738
170,11,10,262144,true,5%,orx-fixed-auto-4-0,225092316
171,11,11,262144,true,5%,orx-fixed-auto-4-1,224498590
172,11,12,262144,true,5%,rayon-16,103736329
173,11,13,262144,true,5%,orx-16-0,101917485
174,11,14,262144,true,5%,orx-16-1,104355800
175,11,15,262144,true,5%,orx-fixed-auto-16-0,108045921
176,11,16,262144,true,5%,orx-fixed-auto-16-1,108218490
177,12,1,262144,true,10%,seq,1324405349
178,12,2,262144,true,10%,rayon-1,1301222264
179,12,3,262144,true,10%,orx-1-0,1305144691
180,12,4,262144,true,10%,orx-1-1,1313679492
181,12,5,262144,true,10%,orx-fixed-auto-1-0,1311678613
182,12,6,262144,true,10%,orx-fixed-auto-1-1,1324497054
183,12,7,262144,true,10%,rayon-4,384483876
184,12,8,262144,true,10%,orx-4-0,380933395
185,12,9,262144,true,10%,orx-4-1,387649133
186,12,10,262144,true,10%,orx-fixed-auto-4-0,389191168
187,12,11,262144,true,10%,orx-fixed-auto-4-1,385281752
188,12,12,262144,true,10%,rayon-16,159816383
189,12,13,262144,true,10%,orx-16-0,163312086
190,12,14,262144,true,10%,orx-16-1,169846942
191,12,15,262144,true,10%,orx-fixed-auto-16-0,164997983
192,12,16,262144,true,10%,orx-fixed-auto-16-1,163469426
