t,i,a,n,method,time (ns)
1,1,1,1024,iter,832
2,1,2,1024,xap,1111
3,2,1,32768,iter,50485
4,2,2,32768,xap,64006
5,3,1,1048576,iter,2306154
6,3,2,1048576,xap,2741147
