t,i,a,n,method,time (ns)
1,1,1,1024,iter,1023
2,1,2,1024,xap,1047
3,2,1,32768,iter,31544
4,2,2,32768,xap,33141
5,3,1,1048576,iter,983931
6,3,2,1048576,xap,1041309
