t,i,a,n,method,time (ns)
1,1,1,1024,iter,189
2,1,2,1024,xap,183
3,2,1,32768,iter,6251
4,2,2,32768,xap,6208
5,3,1,1048576,iter,231860
6,3,2,1048576,xap,235009
