t,i,a,n,method,time (ns)
1,1,1,1024,iter,993
2,1,2,1024,xap,1106
3,2,1,32768,iter,30676
4,2,2,32768,xap,34291
5,3,1,1048576,iter,978552
6,3,2,1048576,xap,1059299
