t,i,a,n,method,time (ns)
1,1,1,1024,iter,1026
2,1,2,1024,xap,1024
3,2,1,32768,iter,134425
4,2,2,32768,xap,134712
5,3,1,1048576,iter,5446574
6,3,2,1048576,xap,5478731
