t,i,a,n,method,time (ns)
1,1,1,1024,iter,1049
2,1,2,1024,xap,944
3,2,1,32768,iter,99476
4,2,2,32768,xap,97012
5,3,1,1048576,iter,4321397
6,3,2,1048576,xap,4220873
