t,i,a,n,method,time (ns)
1,1,1,1024,iter,818
2,1,2,1024,xap,965
3,2,1,32768,iter,96117
4,2,2,32768,xap,113408
5,3,1,1048576,iter,3887198
6,3,2,1048576,xap,4195431
