t,i,a,n,method,time (ns)
1,1,1,1024,iter,184
2,1,2,1024,xap,177
3,2,1,32768,iter,5870
4,2,2,32768,xap,5925
5,3,1,1048576,iter,236090
6,3,2,1048576,xap,237834
