t,i,a,n,method,time (ns)
1,1,1,1024,iter,518
2,1,2,1024,xap,509
3,2,1,32768,iter,18709
4,2,2,32768,xap,19493
5,3,1,1048576,iter,1844360
6,3,2,1048576,xap,1826877
