t,i,a,n,method,time (ns)
1,1,1,1024,iter,664
2,1,2,1024,xap,806
3,2,1,32768,iter,62525
4,2,2,32768,xap,93191
5,3,1,1048576,iter,3392048
6,3,2,1048576,xap,3526936
