t,i,a,n,method,time (ns)
1,1,1,1024,iter,971
2,1,2,1024,xap,1070
3,2,1,32768,iter,30153
4,2,2,32768,xap,33906
5,3,1,1048576,iter,968212
6,3,2,1048576,xap,1013612
