t,i,a,n,method,time (ns)
1,1,1,1024,iter,1124
2,1,2,1024,xap,1007
3,2,1,32768,iter,136559
4,2,2,32768,xap,104410
5,3,1,1048576,iter,4798952
6,3,2,1048576,xap,4573180
