t,i,a,n,method,time (ns)
1,1,1,1024,iter,533
2,1,2,1024,xap,532
3,2,1,32768,iter,15330
4,2,2,32768,xap,16978
5,3,1,1048576,iter,543136
6,3,2,1048576,xap,548663
