t,i,a,n,method,time (ns)
1,1,1,1024,iter,1164
2,1,2,1024,xap,623
3,2,1,32768,iter,36757
4,2,2,32768,xap,19874
5,3,1,1048576,iter,1194078
6,3,2,1048576,xap,695217
