t,i,a,n,method,time (ns)
1,1,1,1024,iter,537
2,1,2,1024,xap,543
3,2,1,32768,iter,16112
4,2,2,32768,xap,16783
5,3,1,1048576,iter,540039
6,3,2,1048576,xap,532382
