t,i,a,n,method,time (ns)
1,1,1,1024,iter,668
2,1,2,1024,xap,838
3,2,1,32768,iter,63897
4,2,2,32768,xap,94489
5,3,1,1048576,iter,3460111
6,3,2,1048576,xap,3629044
