t,i,a,n,method,time (ns)
1,1,1,1024,iter,613
2,1,2,1024,xap,615
3,2,1,32768,iter,57702
4,2,2,32768,xap,64334
5,3,1,1048576,iter,3225550
6,3,2,1048576,xap,3351182
