t,i,a,n,method,time (ns)
1,1,1,1024,iter,1243
2,1,2,1024,xap,953
3,2,1,32768,iter,119610
4,2,2,32768,xap,94538
5,3,1,1048576,iter,5325253
6,3,2,1048576,xap,4441072
