t,i,a,n,method,time (ns)
1,1,1,1024,iter,848
2,1,2,1024,xap,985
3,2,1,32768,iter,53579
4,2,2,32768,xap,108645
5,3,1,1048576,iter,2208783
6,3,2,1048576,xap,3810142
