t,i,a,n,method,time (ns)
1,1,1,1024,iter,683
2,1,2,1024,xap,655
3,2,1,32768,iter,85231
4,2,2,32768,xap,68389
5,3,1,1048576,iter,3476895
6,3,2,1048576,xap,3332265
