method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,20609841
seq,4,2e16,light,654588
seq,4,2e20,heavy,316315658
seq,4,2e20,light,9582135
seq,8,2e16,heavy,18518112
seq,8,2e16,light,571699
seq,8,2e20,heavy,293294259
seq,8,2e20,light,9165005
seq,16,2e16,heavy,17705768
seq,16,2e16,light,556943
seq,16,2e20,heavy,288136340
seq,16,2e20,light,8954856
seq,20,2e16,heavy,17456919
seq,20,2e16,light,547169
seq,20,2e20,heavy,282558457
seq,20,2e20,light,8858995
seq,24,2e16,heavy,17110227
seq,24,2e16,light,534485
seq,24,2e20,heavy,279744368
seq,24,2e20,light,8962332
seq,28,2e16,heavy,17003107
seq,28,2e16,light,542540
seq,28,2e20,heavy,278579529
seq,28,2e20,light,8661899
seq,32,2e16,heavy,17059073
seq,32,2e16,light,547798
seq,32,2e20,heavy,285124779
seq,32,2e20,light,8948362
rayon,4,2e16,heavy,6194830
rayon,4,2e16,light,708331
rayon,4,2e20,heavy,107063499
rayon,4,2e20,light,11218713
rayon,8,2e16,heavy,4026343
rayon,8,2e16,light,618572
rayon,8,2e20,heavy,68941148
rayon,8,2e20,light,7652333
rayon,16,2e16,heavy,3591334
rayon,16,2e16,light,1535192
rayon,16,2e20,heavy,53038677
rayon,16,2e20,light,5930359
rayon,20,2e16,heavy,5368902
rayon,20,2e16,light,2384254
rayon,20,2e20,heavy,50879366
rayon,20,2e20,light,5718799
rayon,24,2e16,heavy,3865068
rayon,24,2e16,light,3857090
rayon,24,2e20,heavy,51018394
rayon,24,2e20,light,6811682
rayon,28,2e16,heavy,10153365
rayon,28,2e16,light,8153965
rayon,28,2e20,heavy,54825832
rayon,28,2e20,light,6841175
rayon,32,2e16,heavy,5565604
rayon,32,2e16,light,8567696
rayon,32,2e20,heavy,54608669
rayon,32,2e20,light,7652481
orx-once,4,2e16,heavy,8257718
orx-once,4,2e16,light,439314
orx-once,4,2e20,heavy,118038853
orx-once,4,2e20,light,3592062
orx-once,8,2e16,heavy,4557830
orx-once,8,2e16,light,667068
orx-once,8,2e20,heavy,75381883
orx-once,8,2e20,light,3017202
orx-once,16,2e16,heavy,3301804
orx-once,16,2e16,light,1142235
orx-once,16,2e20,heavy,48706098
orx-once,16,2e20,light,2957813
orx-once,20,2e16,heavy,3762163
orx-once,20,2e16,light,1465794
orx-once,20,2e20,heavy,49383045
orx-once,20,2e20,light,3475907
orx-once,24,2e16,heavy,3873311
orx-once,24,2e16,light,1724949
orx-once,24,2e20,heavy,47500990
orx-once,24,2e20,light,3567315
orx-once,28,2e16,heavy,4117374
orx-once,28,2e16,light,1991060
orx-once,28,2e20,heavy,47838698
orx-once,28,2e20,light,3803866
orx-once,32,2e16,heavy,4429155
orx-once,32,2e16,light,2294167
orx-once,32,2e20,heavy,46976976
orx-once,32,2e20,light,4102187
orx-basic,4,2e16,heavy,7158204
orx-basic,4,2e16,light,296877
orx-basic,4,2e20,heavy,106880815
orx-basic,4,2e20,light,4032793
orx-basic,8,2e16,heavy,3924236
orx-basic,8,2e16,light,238718
orx-basic,8,2e20,heavy,69943753
orx-basic,8,2e20,light,2498130
orx-basic,16,2e16,heavy,2640608
orx-basic,16,2e16,light,309849
orx-basic,16,2e20,heavy,47774370
orx-basic,16,2e20,light,2235863
orx-basic,20,2e16,heavy,2390501
orx-basic,20,2e16,light,434877
orx-basic,20,2e20,heavy,44380077
orx-basic,20,2e20,light,2047573
orx-basic,24,2e16,heavy,2246259
orx-basic,24,2e16,light,528691
orx-basic,24,2e20,heavy,46125071
orx-basic,24,2e20,light,2153413
orx-basic,28,2e16,heavy,2585072
orx-basic,28,2e16,light,658313
orx-basic,28,2e20,heavy,46928570
orx-basic,28,2e20,light,2470739
orx-basic,32,2e16,heavy,2618789
orx-basic,32,2e16,light,793499
orx-basic,32,2e20,heavy,45931160
orx-basic,32,2e20,light,2665962
orx-rayon,4,2e16,heavy,7897136
orx-rayon,4,2e16,light,368454
orx-rayon,4,2e20,heavy,110491500
orx-rayon,4,2e20,light,3725833
orx-rayon,8,2e16,heavy,4113936
orx-rayon,8,2e16,light,400814
orx-rayon,8,2e20,heavy,70877927
orx-rayon,8,2e20,light,2761108
orx-rayon,16,2e16,heavy,2981118
orx-rayon,16,2e16,light,1103173
orx-rayon,16,2e20,heavy,46979425
orx-rayon,16,2e20,light,2511690
orx-rayon,20,2e16,heavy,3121457
orx-rayon,20,2e16,light,1331552
orx-rayon,20,2e20,heavy,46031908
orx-rayon,20,2e20,light,2748769
orx-rayon,24,2e16,heavy,3271551
orx-rayon,24,2e16,light,1494168
orx-rayon,24,2e20,heavy,44896496
orx-rayon,24,2e20,light,2968529
orx-rayon,28,2e16,heavy,3463666
orx-rayon,28,2e16,light,1874767
orx-rayon,28,2e20,heavy,48706477
orx-rayon,28,2e20,light,3433228
orx-rayon,32,2e16,heavy,3869987
orx-rayon,32,2e16,light,2032194
orx-rayon,32,2e20,heavy,45650922
orx-rayon,32,2e20,light,3626666
