method,num_threads,n,het-lvl,time (ns)
orx-rayon,16,2e14,0.201,358572352
rayon,4,2e10,0.001,3072498
rayon,4,2e10,0.011,2965431
rayon,4,2e10,0.101,3361143
rayon,4,2e10,0.201,3968970
rayon,4,2e12,0.001,39508711
rayon,4,2e12,0.011,38847472
rayon,4,2e12,0.101,39241705
rayon,4,2e12,0.201,40283698
rayon,4,2e14,0.001,575146406
rayon,4,2e14,0.011,555877282
rayon,4,2e14,0.101,564181325
rayon,4,2e14,0.201,572009482
rayon,8,2e10,0.001,1589078
rayon,8,2e10,0.011,1828846
rayon,8,2e10,0.101,2196731
rayon,8,2e10,0.201,2513685
rayon,8,2e12,0.001,24292220
rayon,8,2e12,0.011,25067370
rayon,8,2e12,0.101,26421723
rayon,8,2e12,0.201,27163051
rayon,8,2e14,0.001,387312917
rayon,8,2e14,0.011,391237062
rayon,8,2e14,0.101,397929533
rayon,8,2e14,0.201,402215773
rayon,16,2e10,0.001,2169533
rayon,16,2e10,0.011,2065163
rayon,16,2e10,0.101,2430406
rayon,16,2e10,0.201,2611006
rayon,16,2e12,0.001,19976633
rayon,16,2e12,0.011,21348467
rayon,16,2e12,0.101,22083080
rayon,16,2e12,0.201,22974401
rayon,16,2e14,0.001,352018229
rayon,16,2e14,0.011,339393466
rayon,16,2e14,0.101,346602604
rayon,16,2e14,0.201,358544578
