t,i,a,n,method,time (ns)
1,1,1,1024,iter,1056
2,1,2,1024,xap,1075
3,2,1,32768,iter,32745
4,2,2,32768,xap,34904
5,3,1,1048576,iter,1029150
6,3,2,1048576,xap,1053651
