t,i,a,n,method,time (ns)
1,1,1,1024,iter,592
2,1,2,1024,xap,693
3,2,1,32768,iter,52657
4,2,2,32768,xap,68710
5,3,1,1048576,iter,3675025
6,3,2,1048576,xap,3614176
