t,i,a,n,method,time (ns)
1,1,1,1024,iter,700
2,1,2,1024,xap,946
3,2,1,32768,iter,101819
4,2,2,32768,xap,107613
5,3,1,1048576,iter,3796915
6,3,2,1048576,xap,4114354
