t,i,a,n,method,time (ns)
1,1,1,1024,iter,795
2,1,2,1024,xap,965
3,2,1,32768,iter,51154
4,2,2,32768,xap,113125
5,3,1,1048576,iter,2325937
6,3,2,1048576,xap,4714878
