t,i,a,n,method,time (ns)
1,1,1,1024,iter,881
2,1,2,1024,xap,1278
3,2,1,32768,iter,54767
4,2,2,32768,xap,64526
5,3,1,1048576,iter,2246433
6,3,2,1048576,xap,2756556
