t,i,a,n,method,time (ns)
1,1,1,1024,iter,1044
2,1,2,1024,xap,938
3,2,1,32768,iter,127757
4,2,2,32768,xap,127453
5,3,1,1048576,iter,5275531
6,3,2,1048576,xap,5425278
