t,i,a,n,method,time (ns)
1,1,1,1024,iter,1225
2,1,2,1024,xap,959
3,2,1,32768,iter,120795
4,2,2,32768,xap,98592
5,3,1,1048576,iter,5358304
6,3,2,1048576,xap,4563402
