t,i,a,n,method,time (ns)
1,1,1,1024,iter,541
2,1,2,1024,xap,528
3,2,1,32768,iter,18112
4,2,2,32768,xap,18624
5,3,1,1048576,iter,1816666
6,3,2,1048576,xap,1800304
