t,i,a,n,method,time (ns)
1,1,1,1024,iter,201
2,1,2,1024,xap,196
3,2,1,32768,iter,6498
4,2,2,32768,xap,6426
5,3,1,1048576,iter,255570
6,3,2,1048576,xap,251844
