t,i,a,n,method,time (ns)
1,1,1,1024,iter,745
2,1,2,1024,xap,697
3,2,1,32768,iter,91417
4,2,2,32768,xap,73717
5,3,1,1048576,iter,3553650
6,3,2,1048576,xap,3515474
