t,i,a,n,method,time (ns)
1,1,1,1024,iter,1179
2,1,2,1024,xap,642
3,2,1,32768,iter,37971
4,2,2,32768,xap,20492
5,3,1,1048576,iter,1215713
6,3,2,1048576,xap,670850
