t,i,a,n,method,time (ns)
1,1,1,1024,iter,980
2,1,2,1024,xap,1119
3,2,1,32768,iter,30910
4,2,2,32768,xap,35557
5,3,1,1048576,iter,977316
6,3,2,1048576,xap,1206063
