t,i,a,n,method,time (ns)
1,1,1,1024,iter,657
2,1,2,1024,xap,661
3,2,1,32768,iter,68150
4,2,2,32768,xap,76051
5,3,1,1048576,iter,3560966
6,3,2,1048576,xap,3529986
