t,i,a,n,method,time (ns)
1,1,1,1024,iter,1014
2,1,2,1024,xap,1057
3,2,1,32768,iter,99846
4,2,2,32768,xap,117890
5,3,1,1048576,iter,4299369
6,3,2,1048576,xap,4398375
