t,i,a,n,method,time (ns)
1,1,1,1024,iter,1048
2,1,2,1024,xap,927
3,2,1,32768,iter,130040
4,2,2,32768,xap,106198
5,3,1,1048576,iter,4848900
6,3,2,1048576,xap,4732570
