t,i,a,n,method,time (ns)
1,1,1,1024,iter,821
2,1,2,1024,xap,986
3,2,1,32768,iter,96095
4,2,2,32768,xap,116763
5,3,1,1048576,iter,3920267
6,3,2,1048576,xap,4234981
