t,i,a,n,method,time (ns)
1,1,1,1024,iter,703
2,1,2,1024,xap,680
3,2,1,32768,iter,89824
4,2,2,32768,xap,71328
5,3,1,1048576,iter,3538998
6,3,2,1048576,xap,3461630
