t,i,a,n,method,time (ns)
1,1,1,1024,iter,515
2,1,2,1024,xap,505
3,2,1,32768,iter,16846
4,2,2,32768,xap,15990
5,3,1,1048576,iter,568410
6,3,2,1048576,xap,523431
