method,num_threads,n,pos,time (ns)
orx-rayon,4,2e14,never,664264
orx-rayon,4,2e14,late,654642
orx-rayon,4,2e14,mid,381695
orx-rayon,4,2e14,early,172439
orx-rayon,4,2e18,never,8352561
orx-rayon,4,2e18,late,8412992
orx-rayon,4,2e18,mid,4314968
orx-rayon,4,2e18,early,165411
orx-rayon,8,2e14,never,756466
orx-rayon,8,2e14,late,529562
orx-rayon,8,2e14,mid,324505
orx-rayon,8,2e14,early,280101
orx-rayon,8,2e18,never,4918248
orx-rayon,8,2e18,late,5095684
orx-rayon,8,2e18,mid,2684695
orx-rayon,8,2e18,early,330073
orx-rayon,16,2e14,never,741031
orx-rayon,16,2e14,late,743684
orx-rayon,16,2e14,mid,702717
orx-rayon,16,2e14,early,674821
orx-rayon,16,2e18,never,3179361
orx-rayon,16,2e18,late,3261835
orx-rayon,16,2e18,mid,1971785
orx-rayon,16,2e18,early,803004
orx-rayon,20,2e14,never,1057463
orx-rayon,20,2e14,late,998263
orx-rayon,20,2e14,mid,942637
orx-rayon,20,2e14,early,877196
orx-rayon,20,2e18,never,3014577
orx-rayon,20,2e18,late,3010201
orx-rayon,20,2e18,mid,1938925
orx-rayon,20,2e18,early,999102
orx-rayon,24,2e14,never,1086158
orx-rayon,24,2e14,late,1185663
orx-rayon,24,2e14,mid,1153181
orx-rayon,24,2e14,early,1025297
orx-rayon,24,2e18,never,3106425
orx-rayon,24,2e18,late,3177528
orx-rayon,24,2e18,mid,2152109
orx-rayon,24,2e18,early,1220884
orx-rayon,28,2e14,never,1403924
orx-rayon,28,2e14,late,1489718
orx-rayon,28,2e14,mid,1394719
orx-rayon,28,2e14,early,1262211
orx-rayon,28,2e18,never,3279304
orx-rayon,28,2e18,late,3251972
orx-rayon,28,2e18,mid,2360634
orx-rayon,28,2e18,early,1423135
orx-rayon,32,2e14,never,1616119
orx-rayon,32,2e14,late,1650888
orx-rayon,32,2e14,mid,1587555
orx-rayon,32,2e14,early,1497557
orx-rayon,32,2e18,never,3411514
orx-rayon,32,2e18,late,3503903
orx-rayon,32,2e18,mid,2618359
orx-rayon,32,2e18,early,1675204
rayon,4,2e14,never,692475
rayon,4,2e14,late,699364
rayon,4,2e14,mid,578300
rayon,4,2e14,early,171579
rayon,4,2e18,never,9212257
rayon,4,2e18,late,9148120
rayon,4,2e18,mid,7530799
rayon,4,2e18,early,216909
rayon,8,2e14,never,1385730
rayon,8,2e14,late,1384096
rayon,8,2e14,mid,1144734
rayon,8,2e14,early,336045
rayon,8,2e18,never,5507291
rayon,8,2e18,late,5602446
rayon,8,2e18,mid,5017528
rayon,8,2e18,early,408357
rayon,16,2e14,never,2854873
rayon,16,2e14,late,2984863
rayon,16,2e14,mid,2895243
rayon,16,2e14,early,818516
rayon,16,2e18,never,3802833
rayon,16,2e18,late,3835739
rayon,16,2e18,mid,3423481
rayon,16,2e18,early,880333
rayon,20,2e14,never,3950721
rayon,20,2e14,late,4156303
rayon,20,2e14,mid,4024002
rayon,20,2e14,early,972072
rayon,20,2e18,never,3747884
rayon,20,2e18,late,3572749
rayon,20,2e18,mid,3098483
rayon,20,2e18,early,1170794
rayon,24,2e14,never,4946937
rayon,24,2e14,late,5209686
rayon,24,2e14,mid,4919366
rayon,24,2e14,early,1314002
rayon,24,2e18,never,4114387
rayon,24,2e18,late,3386000
rayon,24,2e18,mid,3153847
rayon,24,2e18,early,1657472
rayon,28,2e14,never,6236927
rayon,28,2e14,late,6639651
rayon,28,2e14,mid,6139565
rayon,28,2e14,early,1575090
rayon,28,2e18,never,11211777
rayon,28,2e18,late,7119921
rayon,28,2e18,mid,4214672
rayon,28,2e18,early,1927969
rayon,32,2e14,never,7443970
rayon,32,2e14,late,7764094
rayon,32,2e14,mid,7569701
rayon,32,2e14,early,2483488
rayon,32,2e18,never,11060842
rayon,32,2e18,late,10432320
rayon,32,2e18,mid,11062229
rayon,32,2e18,early,2436189
