method,num_threads,n,pos,time (ns)
orx-rayon,4,2e14,never,722982
orx-rayon,4,2e14,late,724837
orx-rayon,4,2e14,mid,448985
orx-rayon,4,2e14,early,196640
orx-rayon,4,2e18,never,9730447
orx-rayon,4,2e18,late,9467943
orx-rayon,4,2e18,mid,4849500
orx-rayon,4,2e18,early,170760
orx-rayon,8,2e14,never,578160
orx-rayon,8,2e14,late,572198
orx-rayon,8,2e14,mid,420135
orx-rayon,8,2e14,early,358767
orx-rayon,8,2e18,never,6161741
orx-rayon,8,2e18,late,6496379
orx-rayon,8,2e18,mid,3324630
orx-rayon,8,2e18,early,381320
orx-rayon,16,2e14,never,931822
orx-rayon,16,2e14,late,970798
orx-rayon,16,2e14,mid,905314
orx-rayon,16,2e14,early,786890
orx-rayon,16,2e18,never,4257377
orx-rayon,16,2e18,late,4388968
orx-rayon,16,2e18,mid,2709187
orx-rayon,16,2e18,early,990454
orx-rayon,20,2e14,never,1245820
orx-rayon,20,2e14,late,1317047
orx-rayon,20,2e14,mid,1226303
orx-rayon,20,2e14,early,1077289
orx-rayon,20,2e18,never,4148705
orx-rayon,20,2e18,late,4276556
orx-rayon,20,2e18,mid,2773800
orx-rayon,20,2e18,early,1230148
orx-rayon,24,2e14,never,1493446
orx-rayon,24,2e14,late,1606387
orx-rayon,24,2e14,mid,1478043
orx-rayon,24,2e14,early,1338176
orx-rayon,24,2e18,never,4219302
orx-rayon,24,2e18,late,4394451
orx-rayon,24,2e18,mid,2878527
orx-rayon,24,2e18,early,1551615
orx-rayon,28,2e14,never,1809505
orx-rayon,28,2e14,late,1893624
orx-rayon,28,2e14,mid,1884478
orx-rayon,28,2e14,early,1760433
orx-rayon,28,2e18,never,4606004
orx-rayon,28,2e18,late,4556419
orx-rayon,28,2e18,mid,3231353
orx-rayon,28,2e18,early,1883173
orx-rayon,32,2e14,never,2064511
orx-rayon,32,2e14,late,2182400
orx-rayon,32,2e14,mid,2093705
orx-rayon,32,2e14,early,1943257
orx-rayon,32,2e18,never,4955379
orx-rayon,32,2e18,late,5395679
orx-rayon,32,2e18,mid,3759277
orx-rayon,32,2e18,early,2159991
rayon,4,2e14,never,818493
rayon,4,2e14,late,782834
rayon,4,2e14,mid,686015
rayon,4,2e14,early,186700
rayon,4,2e18,never,10155021
rayon,4,2e18,late,9775373
rayon,4,2e18,mid,8182464
rayon,4,2e18,early,240373
rayon,8,2e14,never,766724
rayon,8,2e14,late,527435
rayon,8,2e14,mid,518367
rayon,8,2e14,early,305904
rayon,8,2e18,never,6303866
rayon,8,2e18,late,5839136
rayon,8,2e18,mid,5579599
rayon,8,2e18,early,429901
rayon,16,2e14,never,3471778
rayon,16,2e14,late,1213343
rayon,16,2e14,mid,1208317
rayon,16,2e14,early,907265
rayon,16,2e18,never,4466796
rayon,16,2e18,late,4033292
rayon,16,2e18,mid,3830868
rayon,16,2e18,early,1135135
rayon,20,2e14,never,5101425
rayon,20,2e14,late,1710834
rayon,20,2e14,mid,1699286
rayon,20,2e14,early,1236151
rayon,20,2e18,never,4255361
rayon,20,2e18,late,3776568
rayon,20,2e18,mid,3735797
rayon,20,2e18,early,1711529
rayon,24,2e14,never,6528464
rayon,24,2e14,late,2190233
rayon,24,2e14,mid,2147509
rayon,24,2e14,early,1534776
rayon,24,2e18,never,6107395
rayon,24,2e18,late,3891998
rayon,24,2e18,mid,3670938
rayon,24,2e18,early,2089481
rayon,28,2e14,never,8093904
rayon,28,2e14,late,2905059
rayon,28,2e14,mid,2800991
rayon,28,2e14,early,1682463
rayon,28,2e18,never,5121361
rayon,28,2e18,late,4197176
rayon,28,2e18,mid,4014755
rayon,28,2e18,early,2430698
rayon,32,2e14,never,9469163
rayon,32,2e14,late,3431783
rayon,32,2e14,mid,3220476
rayon,32,2e14,early,2785948
rayon,32,2e18,never,5405389
rayon,32,2e18,late,3690470
rayon,32,2e18,mid,3857849
rayon,32,2e18,early,1959411
