method,num_threads,n,task,time (ns)
rayon-vec2,20,2e16,light,6597329
rayon-vec2,20,2e20,heavy,11685988
rayon-vec2,20,2e20,light,8058100
rayon-vec2,24,2e16,heavy,8287185
rayon-vec2,24,2e16,light,8941985
rayon-vec2,24,2e20,heavy,12098032
rayon-vec2,24,2e20,light,14148572
rayon-vec2,28,2e16,heavy,10874243
rayon-vec2,28,2e16,light,11427456
rayon-vec2,28,2e20,heavy,13394511
rayon-vec2,28,2e20,light,18132810
rayon-vec2,32,2e16,heavy,13053182
rayon-vec2,32,2e16,light,13912244
rayon-vec2,32,2e20,heavy,15315796
rayon-vec2,32,2e20,light,21576549
orx-once-vec2,4,2e16,heavy,1646616
orx-once-vec2,4,2e16,light,336724
orx-once-vec2,4,2e20,heavy,23676826
orx-once-vec2,4,2e20,light,2010145
orx-once-vec2,8,2e16,heavy,1156907
orx-once-vec2,8,2e16,light,530554
orx-once-vec2,8,2e20,heavy,16082420
orx-once-vec2,8,2e20,light,1772070
orx-once-vec2,16,2e16,heavy,1654008
orx-once-vec2,16,2e16,light,990040
orx-once-vec2,16,2e20,heavy,12642763
orx-once-vec2,16,2e20,light,2516505
orx-once-vec2,20,2e16,heavy,2004896
orx-once-vec2,20,2e16,light,1272809
orx-once-vec2,20,2e20,heavy,12388255
orx-once-vec2,20,2e20,light,3390263
orx-once-vec2,24,2e16,heavy,2279789
orx-once-vec2,24,2e16,light,1520563
orx-once-vec2,24,2e20,heavy,12274885
orx-once-vec2,24,2e20,light,4339408
orx-once-vec2,28,2e16,heavy,2591404
orx-once-vec2,28,2e16,light,1756098
orx-once-vec2,28,2e20,heavy,11195500
orx-once-vec2,28,2e20,light,3994243
orx-once-vec2,32,2e16,heavy,2999525
orx-once-vec2,32,2e16,light,2016760
orx-once-vec2,32,2e20,heavy,12220166
orx-once-vec2,32,2e20,light,3864193
orx-basic-vec2,4,2e16,heavy,1599609
orx-basic-vec2,4,2e16,light,319884
orx-basic-vec2,4,2e20,heavy,22983886
orx-basic-vec2,4,2e20,light,2954219
orx-basic-vec2,8,2e16,heavy,1110839
orx-basic-vec2,8,2e16,light,383259
orx-basic-vec2,8,2e20,heavy,15683753
orx-basic-vec2,8,2e20,light,3875410
orx-basic-vec2,16,2e16,heavy,1408239
orx-basic-vec2,16,2e16,light,416415
orx-basic-vec2,16,2e20,heavy,13067000
orx-basic-vec2,16,2e20,light,3592549
orx-basic-vec2,20,2e16,heavy,1577535
orx-basic-vec2,20,2e16,light,553330
orx-basic-vec2,20,2e20,heavy,12741945
orx-basic-vec2,20,2e20,light,4398681
orx-basic-vec2,24,2e16,heavy,1774769
orx-basic-vec2,24,2e16,light,548759
orx-basic-vec2,24,2e20,heavy,15831206
orx-basic-vec2,24,2e20,light,3949041
orx-basic-vec2,28,2e16,heavy,1509249
orx-basic-vec2,28,2e16,light,634768
orx-basic-vec2,28,2e20,heavy,10239736
orx-basic-vec2,28,2e20,light,4943228
orx-basic-vec2,32,2e16,heavy,2112770
orx-basic-vec2,32,2e16,light,770959
orx-basic-vec2,32,2e20,heavy,15117643
orx-basic-vec2,32,2e20,light,4756359
orx-rayon-vec2,4,2e16,heavy,1380185
orx-rayon-vec2,4,2e16,light,448928
orx-rayon-vec2,4,2e20,heavy,19826597
orx-rayon-vec2,4,2e20,light,3665526
orx-rayon-vec2,8,2e16,heavy,971202
orx-rayon-vec2,8,2e16,light,619046
orx-rayon-vec2,8,2e20,heavy,12378707
orx-rayon-vec2,8,2e20,light,3181158
orx-rayon-vec2,16,2e16,heavy,1264252
orx-rayon-vec2,16,2e16,light,942106
orx-rayon-vec2,16,2e20,heavy,10223585
orx-rayon-vec2,16,2e20,light,2819559
orx-rayon-vec2,20,2e16,heavy,1565877
orx-rayon-vec2,20,2e16,light,1277243
orx-rayon-vec2,20,2e20,heavy,10417521
orx-rayon-vec2,20,2e20,light,3603052
orx-rayon-vec2,24,2e16,heavy,1904060
orx-rayon-vec2,24,2e16,light,1498520
orx-rayon-vec2,24,2e20,heavy,10879012
orx-rayon-vec2,24,2e20,light,3915839
orx-rayon-vec2,28,2e16,heavy,2189279
orx-rayon-vec2,28,2e16,light,1757617
orx-rayon-vec2,28,2e20,heavy,11161372
orx-rayon-vec2,28,2e20,light,4287570
orx-rayon-vec2,32,2e16,heavy,2421422
orx-rayon-vec2,32,2e16,light,2144122
orx-rayon-vec2,32,2e20,heavy,12686978
orx-rayon-vec2,32,2e20,light,4854226
