method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3175349
seq,4,2e16,light,1268504
seq,4,2e20,heavy,79323581
seq,4,2e20,light,37602887
seq,8,2e16,heavy,2878629
seq,8,2e16,light,1132033
seq,8,2e20,heavy,71140398
seq,8,2e20,light,35826851
seq,16,2e16,heavy,2874478
seq,16,2e16,light,1128534
seq,16,2e20,heavy,70706370
seq,16,2e20,light,35252090
seq,20,2e16,heavy,2719117
seq,20,2e16,light,1135534
seq,20,2e20,heavy,68807217
seq,20,2e20,light,34728963
seq,24,2e16,heavy,2699556
seq,24,2e16,light,1083397
seq,24,2e20,heavy,68627578
seq,24,2e20,light,34813207
seq,28,2e16,heavy,2750660
seq,28,2e16,light,1109147
seq,28,2e20,heavy,68454039
seq,28,2e20,light,34577395
seq,32,2e16,heavy,2731124
seq,32,2e16,light,1104336
seq,32,2e20,heavy,67443460
seq,32,2e20,light,34237379
rayon,4,2e16,heavy,1722179
rayon,4,2e16,light,1230052
rayon,4,2e20,heavy,52188698
rayon,4,2e20,light,41865347
rayon,8,2e16,heavy,2087596
rayon,8,2e16,light,1147850
rayon,8,2e20,heavy,36636413
rayon,8,2e20,light,32709986
rayon,16,2e16,heavy,4770243
rayon,16,2e16,light,4412881
rayon,16,2e20,heavy,35658803
rayon,16,2e20,light,33508223
rayon,20,2e16,heavy,5840426
rayon,20,2e16,light,5744607
rayon,20,2e20,heavy,37059574
rayon,20,2e20,light,38487442
rayon,24,2e16,heavy,6971932
rayon,24,2e16,light,6867781
rayon,24,2e20,heavy,41278569
rayon,24,2e20,light,40129627
rayon,28,2e16,heavy,8354940
rayon,28,2e16,light,8482404
rayon,28,2e20,heavy,48973565
rayon,28,2e20,light,45515346
rayon,32,2e16,heavy,10255383
rayon,32,2e16,light,10636782
rayon,32,2e20,heavy,56405600
rayon,32,2e20,light,52381704
orx-once,4,2e16,heavy,1566860
orx-once,4,2e16,light,767715
orx-once,4,2e20,heavy,43086104
orx-once,4,2e20,light,30188181
orx-once,8,2e16,heavy,1082761
orx-once,8,2e16,light,719147
orx-once,8,2e20,heavy,34341203
orx-once,8,2e20,light,27617459
orx-once,16,2e16,heavy,1349803
orx-once,16,2e16,light,1127196
orx-once,16,2e20,heavy,32548097
orx-once,16,2e20,light,27852820
orx-once,20,2e16,heavy,1542858
orx-once,20,2e16,light,1255218
orx-once,20,2e20,heavy,31651713
orx-once,20,2e20,light,28435985
orx-once,24,2e16,heavy,1875732
orx-once,24,2e16,light,1492863
orx-once,24,2e20,heavy,32647359
orx-once,24,2e20,light,28741870
orx-once,28,2e16,heavy,1968152
orx-once,28,2e16,light,1638380
orx-once,28,2e20,heavy,34992127
orx-once,28,2e20,light,29763393
orx-once,32,2e16,heavy,2050714
orx-once,32,2e16,light,1864462
orx-once,32,2e20,heavy,33927551
orx-once,32,2e20,light,31962554
orx-basic,4,2e16,heavy,2167796
orx-basic,4,2e16,light,934593
orx-basic,4,2e20,heavy,61500921
orx-basic,4,2e20,light,58386970
orx-basic,8,2e16,heavy,1748906
orx-basic,8,2e16,light,954155
orx-basic,8,2e20,heavy,50217373
orx-basic,8,2e20,light,51298356
orx-basic,16,2e16,heavy,3352084
orx-basic,16,2e16,light,1207874
orx-basic,16,2e20,heavy,51424943
orx-basic,16,2e20,light,49756777
orx-basic,20,2e16,heavy,1609477
orx-basic,20,2e16,light,1448132
orx-basic,20,2e20,heavy,52965050
orx-basic,20,2e20,light,55843705
orx-basic,24,2e16,heavy,1528101
orx-basic,24,2e16,light,1480574
orx-basic,24,2e20,heavy,55154011
orx-basic,24,2e20,light,50970575
orx-basic,28,2e16,heavy,2186503
orx-basic,28,2e16,light,1491996
orx-basic,28,2e20,heavy,56644977
orx-basic,28,2e20,light,56540470
orx-basic,32,2e16,heavy,1697885
orx-basic,32,2e16,light,1651996
orx-basic,32,2e20,heavy,57654819
orx-basic,32,2e20,light,52829223
orx-rayon,4,2e16,heavy,1551392
orx-rayon,4,2e16,light,988668
orx-rayon,4,2e20,heavy,48722770
orx-rayon,4,2e20,light,36540680
orx-rayon,8,2e16,heavy,1138378
orx-rayon,8,2e16,light,1090154
orx-rayon,8,2e20,heavy,49081884
orx-rayon,8,2e20,light,48578826
orx-rayon,16,2e16,heavy,1449208
orx-rayon,16,2e16,light,1178918
orx-rayon,16,2e20,heavy,51251130
orx-rayon,16,2e20,light,43325075
orx-rayon,20,2e16,heavy,1552749
orx-rayon,20,2e16,light,1356154
orx-rayon,20,2e20,heavy,40378993
orx-rayon,20,2e20,light,39135311
orx-rayon,24,2e16,heavy,1729204
orx-rayon,24,2e16,light,1608729
orx-rayon,24,2e20,heavy,56824419
orx-rayon,24,2e20,light,47427997
orx-rayon,28,2e16,heavy,1888876
orx-rayon,28,2e16,light,1743465
orx-rayon,28,2e20,heavy,48965132
orx-rayon,28,2e20,light,43581148
orx-rayon,32,2e16,heavy,2116159
orx-rayon,32,2e16,light,1879279
orx-rayon,32,2e20,heavy,42790995
orx-rayon,32,2e20,light,38085948
rayon-vec2,4,2e16,heavy,1780431
rayon-vec2,4,2e16,light,1254612
rayon-vec2,4,2e20,heavy,25816146
rayon-vec2,4,2e20,light,17120600
rayon-vec2,8,2e16,heavy,1356548
rayon-vec2,8,2e16,light,1091352
rayon-vec2,8,2e20,heavy,16085671
rayon-vec2,8,2e20,light,11129246
rayon-vec2,16,2e16,heavy,4261064
rayon-vec2,16,2e16,light,1654199
rayon-vec2,16,2e20,heavy,12535445
rayon-vec2,16,2e20,light,8687300
rayon-vec2,20,2e16,heavy,6232884
rayon-vec2,20,2e16,light,4448203
rayon-vec2,20,2e20,heavy,11726927
rayon-vec2,20,2e20,light,8589444
rayon-vec2,24,2e16,heavy,7365968
rayon-vec2,24,2e16,light,6406050
rayon-vec2,24,2e20,heavy,12387397
rayon-vec2,24,2e20,light,8217094
rayon-vec2,28,2e16,heavy,9127248
rayon-vec2,28,2e16,light,9171356
rayon-vec2,28,2e20,heavy,12689832
rayon-vec2,28,2e20,light,10428687
rayon-vec2,32,2e16,heavy,10777534
rayon-vec2,32,2e16,light,10481508
rayon-vec2,32,2e20,heavy,16734911
rayon-vec2,32,2e20,light,13838443
orx-once-vec2,4,2e16,heavy,1646293
orx-once-vec2,4,2e16,light,804636
orx-once-vec2,4,2e20,heavy,45037869
orx-once-vec2,4,2e20,light,32609815
orx-once-vec2,8,2e16,heavy,1052608
orx-once-vec2,8,2e16,light,728862
orx-once-vec2,8,2e20,heavy,35554970
orx-once-vec2,8,2e20,light,30114446
orx-once-vec2,16,2e16,heavy,1375325
orx-once-vec2,16,2e16,light,1067596
orx-once-vec2,16,2e20,heavy,32699380
orx-once-vec2,16,2e20,light,28157983
orx-once-vec2,20,2e16,heavy,1524692
orx-once-vec2,20,2e16,light,1314470
orx-once-vec2,20,2e20,heavy,32226151
orx-once-vec2,20,2e20,light,28402943
orx-once-vec2,24,2e16,heavy,1775720
orx-once-vec2,24,2e16,light,1478875
orx-once-vec2,24,2e20,heavy,32833261
orx-once-vec2,24,2e20,light,29001104
orx-once-vec2,28,2e16,heavy,2002998
orx-once-vec2,28,2e16,light,1667243
orx-once-vec2,28,2e20,heavy,33394174
orx-once-vec2,28,2e20,light,32773347
orx-once-vec2,32,2e16,heavy,2284929
orx-once-vec2,32,2e16,light,1916332
orx-once-vec2,32,2e20,heavy,37493515
orx-once-vec2,32,2e20,light,32307833
orx-basic-vec2,4,2e16,heavy,2691862
orx-basic-vec2,4,2e16,light,926395
orx-basic-vec2,4,2e20,heavy,68743945
orx-basic-vec2,4,2e20,light,56615264
orx-basic-vec2,8,2e16,heavy,2275200
orx-basic-vec2,8,2e16,light,1017571
orx-basic-vec2,8,2e20,heavy,53206479
orx-basic-vec2,8,2e20,light,55539452
orx-basic-vec2,16,2e16,heavy,2828456
orx-basic-vec2,16,2e16,light,1393374
orx-basic-vec2,16,2e20,heavy,55506744
orx-basic-vec2,16,2e20,light,56252802
orx-basic-vec2,20,2e16,heavy,2895342
orx-basic-vec2,20,2e16,light,1445858
orx-basic-vec2,20,2e20,heavy,56267759
orx-basic-vec2,20,2e20,light,55544256
orx-basic-vec2,24,2e16,heavy,2067186
orx-basic-vec2,24,2e16,light,1506783
orx-basic-vec2,24,2e20,heavy,45787995
orx-basic-vec2,24,2e20,light,47318175
orx-basic-vec2,28,2e16,heavy,3829370
orx-basic-vec2,28,2e16,light,1705093
orx-basic-vec2,28,2e20,heavy,64517363
orx-basic-vec2,28,2e20,light,61199005
orx-basic-vec2,32,2e16,heavy,3044505
orx-basic-vec2,32,2e16,light,1670291
orx-basic-vec2,32,2e20,heavy,61635842
orx-basic-vec2,32,2e20,light,56263579
orx-rayon-vec2,4,2e16,heavy,1499121
orx-rayon-vec2,4,2e16,light,1109311
orx-rayon-vec2,4,2e20,heavy,53513319
orx-rayon-vec2,4,2e20,light,41652392
orx-rayon-vec2,8,2e16,heavy,1261638
orx-rayon-vec2,8,2e16,light,1326238
orx-rayon-vec2,8,2e20,heavy,46758462
orx-rayon-vec2,8,2e20,light,49370066
orx-rayon-vec2,16,2e16,heavy,1493740
orx-rayon-vec2,16,2e16,light,1248379
orx-rayon-vec2,16,2e20,heavy,42852815
orx-rayon-vec2,16,2e20,light,39120151
orx-rayon-vec2,20,2e16,heavy,1611098
orx-rayon-vec2,20,2e16,light,1364894
orx-rayon-vec2,20,2e20,heavy,51065741
orx-rayon-vec2,20,2e20,light,48425250
orx-rayon-vec2,24,2e16,heavy,1730703
orx-rayon-vec2,24,2e16,light,1603212
orx-rayon-vec2,24,2e20,heavy,43378411
orx-rayon-vec2,24,2e20,light,40006964
orx-rayon-vec2,28,2e16,heavy,1940725
orx-rayon-vec2,28,2e16,light,1736240
orx-rayon-vec2,28,2e20,heavy,49037594
orx-rayon-vec2,28,2e20,light,39076645
orx-rayon-vec2,32,2e16,heavy,2036519
orx-rayon-vec2,32,2e16,light,1893269
orx-rayon-vec2,32,2e20,heavy,43119233
orx-rayon-vec2,32,2e20,light,41416060
