method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3606768
seq,4,2e16,light,839759
seq,4,2e20,heavy,83524770
seq,4,2e20,light,31932819
seq,8,2e16,heavy,3407939
seq,8,2e16,light,784008
seq,8,2e20,heavy,82112097
seq,8,2e20,light,31275151
seq,16,2e16,heavy,3387156
seq,16,2e16,light,762704
seq,16,2e20,heavy,80339525
seq,16,2e20,light,30937817
seq,20,2e16,heavy,3445728
seq,20,2e16,light,815609
seq,20,2e20,heavy,80210768
seq,20,2e20,light,31025220
seq,24,2e16,heavy,3378936
seq,24,2e16,light,764348
seq,24,2e20,heavy,79500132
seq,24,2e20,light,30764341
seq,28,2e16,heavy,3280063
seq,28,2e16,light,747129
seq,28,2e20,heavy,79334690
seq,28,2e20,light,30823869
seq,32,2e16,heavy,3337971
seq,32,2e16,light,767008
seq,32,2e20,heavy,78969814
seq,32,2e20,light,30404700
rayon,4,2e16,heavy,1316979
rayon,4,2e16,light,520573
rayon,4,2e20,heavy,44552020
rayon,4,2e20,light,28059417
rayon,8,2e16,heavy,1155114
rayon,8,2e16,light,695167
rayon,8,2e20,heavy,33478533
rayon,8,2e20,light,26106775
rayon,16,2e16,heavy,4061874
rayon,16,2e16,light,4038613
rayon,16,2e20,heavy,31787447
rayon,16,2e20,light,31739071
rayon,20,2e16,heavy,5242421
rayon,20,2e16,light,5393798
rayon,20,2e20,heavy,36323278
rayon,20,2e20,light,35131199
rayon,24,2e16,heavy,6502887
rayon,24,2e16,light,6965055
rayon,24,2e20,heavy,38926314
rayon,24,2e20,light,37409335
rayon,28,2e16,heavy,7790001
rayon,28,2e16,light,8101691
rayon,28,2e20,heavy,44540797
rayon,28,2e20,light,40576295
rayon,32,2e16,heavy,9625895
rayon,32,2e16,light,9956261
rayon,32,2e20,heavy,49671329
rayon,32,2e20,light,43632587
orx-once,4,2e16,heavy,1359844
orx-once,4,2e16,light,679541
orx-once,4,2e20,heavy,39945001
orx-once,4,2e20,light,30124857
orx-once,8,2e16,heavy,1100128
orx-once,8,2e16,light,722927
orx-once,8,2e20,heavy,33356939
orx-once,8,2e20,light,27540430
orx-once,16,2e16,heavy,1375094
orx-once,16,2e16,light,1017739
orx-once,16,2e20,heavy,31222750
orx-once,16,2e20,light,27648853
orx-once,20,2e16,heavy,1390566
orx-once,20,2e16,light,1286503
orx-once,20,2e20,heavy,31290532
orx-once,20,2e20,light,27711970
orx-once,24,2e16,heavy,1767199
orx-once,24,2e16,light,1431531
orx-once,24,2e20,heavy,31616863
orx-once,24,2e20,light,28297610
orx-once,28,2e16,heavy,1947614
orx-once,28,2e16,light,1611042
orx-once,28,2e20,heavy,32215423
orx-once,28,2e20,light,28473842
orx-once,32,2e16,heavy,2075196
orx-once,32,2e16,light,1790587
orx-once,32,2e20,heavy,32830688
orx-once,32,2e20,light,28629915
orx-basic,4,2e16,heavy,1411621
orx-basic,4,2e16,light,598583
orx-basic,4,2e20,heavy,41632221
orx-basic,4,2e20,light,29360287
orx-basic,8,2e16,heavy,920001
orx-basic,8,2e16,light,543813
orx-basic,8,2e20,heavy,33938146
orx-basic,8,2e20,light,28466507
orx-basic,16,2e16,heavy,988811
orx-basic,16,2e16,light,523586
orx-basic,16,2e20,heavy,31118262
orx-basic,16,2e20,light,26469440
orx-basic,20,2e16,heavy,957911
orx-basic,20,2e16,light,531647
orx-basic,20,2e20,heavy,30326113
orx-basic,20,2e20,light,26698250
orx-basic,24,2e16,heavy,870268
orx-basic,24,2e16,light,550426
orx-basic,24,2e20,heavy,30106963
orx-basic,24,2e20,light,26991940
orx-basic,28,2e16,heavy,919420
orx-basic,28,2e16,light,659883
orx-basic,28,2e20,heavy,29443413
orx-basic,28,2e20,light,26826300
orx-basic,32,2e16,heavy,967250
orx-basic,32,2e16,light,694884
orx-basic,32,2e20,heavy,30046219
orx-basic,32,2e20,light,27770059
orx-rayon,4,2e16,heavy,1365267
orx-rayon,4,2e16,light,631328
orx-rayon,4,2e20,heavy,40520297
orx-rayon,4,2e20,light,28872940
orx-rayon,8,2e16,heavy,1186957
orx-rayon,8,2e16,light,680919
orx-rayon,8,2e20,heavy,32930312
orx-rayon,8,2e20,light,28748854
orx-rayon,16,2e16,heavy,1221691
orx-rayon,16,2e16,light,1010260
orx-rayon,16,2e20,heavy,34899615
orx-rayon,16,2e20,light,27978016
orx-rayon,20,2e16,heavy,1451374
orx-rayon,20,2e16,light,1128992
orx-rayon,20,2e20,heavy,34100040
orx-rayon,20,2e20,light,28255586
orx-rayon,24,2e16,heavy,1575832
orx-rayon,24,2e16,light,1299408
orx-rayon,24,2e20,heavy,30292932
orx-rayon,24,2e20,light,27350499
orx-rayon,28,2e16,heavy,1837852
orx-rayon,28,2e16,light,1548552
orx-rayon,28,2e20,heavy,30642709
orx-rayon,28,2e20,light,27610566
orx-rayon,32,2e16,heavy,2035117
orx-rayon,32,2e16,light,1696545
orx-rayon,32,2e20,heavy,30849744
orx-rayon,32,2e20,light,28646368
rayon-vec2,4,2e16,heavy,1340843
rayon-vec2,4,2e16,light,403374
rayon-vec2,4,2e20,heavy,18384677
rayon-vec2,4,2e20,light,4142644
rayon-vec2,8,2e16,heavy,2313105
rayon-vec2,8,2e16,light,1733949
rayon-vec2,8,2e20,heavy,11232371
rayon-vec2,8,2e20,light,2793445
rayon-vec2,16,2e16,heavy,4124208
rayon-vec2,16,2e16,light,4067832
rayon-vec2,16,2e20,heavy,8097359
rayon-vec2,16,2e20,light,4853804
rayon-vec2,20,2e16,heavy,5428010
rayon-vec2,20,2e16,light,5132638
rayon-vec2,20,2e20,heavy,7676861
rayon-vec2,20,2e20,light,8696566
rayon-vec2,24,2e16,heavy,6819884
rayon-vec2,24,2e16,light,6884656
rayon-vec2,24,2e20,heavy,7560236
rayon-vec2,24,2e20,light,12415822
rayon-vec2,28,2e16,heavy,8430460
rayon-vec2,28,2e16,light,8454093
rayon-vec2,28,2e20,heavy,8769476
rayon-vec2,28,2e20,light,15411271
rayon-vec2,32,2e16,heavy,10045519
rayon-vec2,32,2e16,light,10316535
rayon-vec2,32,2e20,heavy,11195686
rayon-vec2,32,2e20,light,19066774
orx-once-vec2,4,2e16,heavy,1453760
orx-once-vec2,4,2e16,light,827795
orx-once-vec2,4,2e20,heavy,41944495
orx-once-vec2,4,2e20,light,29511434
orx-once-vec2,8,2e16,heavy,1072843
orx-once-vec2,8,2e16,light,704489
orx-once-vec2,8,2e20,heavy,33017049
orx-once-vec2,8,2e20,light,27636773
orx-once-vec2,16,2e16,heavy,1059471
orx-once-vec2,16,2e16,light,1077285
