method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,2599948
seq,4,2e16,light,523638
seq,4,2e20,heavy,41059940
seq,4,2e20,light,8044676
seq,8,2e16,heavy,2382894
seq,8,2e16,light,455392
seq,8,2e20,heavy,39444861
seq,8,2e20,light,7761258
seq,16,2e16,heavy,2284531
seq,16,2e16,light,466710
seq,16,2e20,heavy,38463991
seq,16,2e20,light,7582458
seq,20,2e16,heavy,2284644
seq,20,2e16,light,460247
seq,20,2e20,heavy,38423391
seq,20,2e20,light,7622006
seq,24,2e16,heavy,2295035
seq,24,2e16,light,447668
seq,24,2e20,heavy,37638645
seq,24,2e20,light,7431871
seq,28,2e16,heavy,2266149
seq,28,2e16,light,423808
seq,28,2e20,heavy,37263047
seq,28,2e20,light,7361901
seq,32,2e16,heavy,2228991
seq,32,2e16,light,440715
seq,32,2e20,heavy,37086484
seq,32,2e20,light,7549165
rayon,4,2e16,heavy,2282521
rayon,4,2e16,light,1905109
rayon,4,2e20,heavy,36663793
rayon,4,2e20,light,30588897
rayon,8,2e16,heavy,1561494
rayon,8,2e16,light,1250025
rayon,8,2e20,heavy,23707348
rayon,8,2e20,light,19226938
rayon,16,2e16,heavy,3581496
rayon,16,2e16,light,3560965
rayon,16,2e20,heavy,13593437
rayon,16,2e20,light,10835562
rayon,20,2e16,heavy,5303521
rayon,20,2e16,light,5129572
rayon,20,2e20,heavy,12671352
rayon,20,2e20,light,9428512
rayon,24,2e16,heavy,6659026
rayon,24,2e16,light,6663279
rayon,24,2e20,heavy,11709694
rayon,24,2e20,light,9088133
rayon,28,2e16,heavy,7843303
rayon,28,2e16,light,8146135
rayon,28,2e20,heavy,13464242
rayon,28,2e20,light,9683687
rayon,32,2e16,heavy,9275058
rayon,32,2e16,light,9073471
rayon,32,2e20,heavy,12594181
rayon,32,2e20,light,8618459
orx-once,4,2e16,heavy,1139754
orx-once,4,2e16,light,363865
orx-once,4,2e20,heavy,14657665
orx-once,4,2e20,light,3393962
orx-once,8,2e16,heavy,880236
orx-once,8,2e16,light,512634
orx-once,8,2e20,heavy,8751079
orx-once,8,2e20,light,2352628
orx-once,16,2e16,heavy,1144439
orx-once,16,2e16,light,802942
orx-once,16,2e20,heavy,6635980
orx-once,16,2e20,light,2052002
orx-once,20,2e16,heavy,1314026
orx-once,20,2e16,light,931603
orx-once,20,2e20,heavy,6130461
orx-once,20,2e20,light,2227569
orx-once,24,2e16,heavy,1461413
orx-once,24,2e16,light,1126782
orx-once,24,2e20,heavy,6199170
orx-once,24,2e20,light,2281037
orx-once,28,2e16,heavy,1652457
orx-once,28,2e16,light,1339174
orx-once,28,2e20,heavy,6281505
orx-once,28,2e20,light,2642728
orx-once,32,2e16,heavy,1772618
orx-once,32,2e16,light,1460947
orx-once,32,2e20,heavy,6984131
orx-once,32,2e20,light,2869411
orx-basic,4,2e16,heavy,1078096
orx-basic,4,2e16,light,289289
orx-basic,4,2e20,heavy,15591865
orx-basic,4,2e20,light,3186382
orx-basic,8,2e16,heavy,677363
orx-basic,8,2e16,light,167166
orx-basic,8,2e20,heavy,9250556
orx-basic,8,2e20,light,1916859
orx-basic,16,2e16,heavy,659626
orx-basic,16,2e16,light,224626
orx-basic,16,2e20,heavy,6408865
orx-basic,16,2e20,light,1346471
orx-basic,20,2e16,heavy,677041
orx-basic,20,2e16,light,269233
orx-basic,20,2e20,heavy,5717862
orx-basic,20,2e20,light,1260752
orx-basic,24,2e16,heavy,653330
orx-basic,24,2e16,light,326928
orx-basic,24,2e20,heavy,5253918
orx-basic,24,2e20,light,1268535
orx-basic,28,2e16,heavy,732512
orx-basic,28,2e16,light,389291
orx-basic,28,2e20,heavy,5504486
orx-basic,28,2e20,light,1317082
orx-basic,32,2e16,heavy,715062
orx-basic,32,2e16,light,435917
orx-basic,32,2e20,heavy,5314587
orx-basic,32,2e20,light,1295810
orx-rayon,4,2e16,heavy,960078
orx-rayon,4,2e16,light,283728
orx-rayon,4,2e20,heavy,13481012
orx-rayon,4,2e20,light,3176343
orx-rayon,8,2e16,heavy,699196
orx-rayon,8,2e16,light,328169
orx-rayon,8,2e20,heavy,8179486
orx-rayon,8,2e20,light,2077332
orx-rayon,16,2e16,heavy,1011533
orx-rayon,16,2e16,light,656054
orx-rayon,16,2e20,heavy,6241905
orx-rayon,16,2e20,light,1642540
orx-rayon,20,2e16,heavy,1085271
orx-rayon,20,2e16,light,881542
orx-rayon,20,2e20,heavy,5893208
orx-rayon,20,2e20,light,1812893
orx-rayon,24,2e16,heavy,1495344
orx-rayon,24,2e16,light,1401390
orx-rayon,24,2e20,heavy,7035235
orx-rayon,24,2e20,light,2291295
orx-rayon,28,2e16,heavy,1550207
orx-rayon,28,2e16,light,1315210
orx-rayon,28,2e20,heavy,6220913
orx-rayon,28,2e20,light,2532962
orx-rayon,32,2e16,heavy,1788842
orx-rayon,32,2e16,light,1475805
orx-rayon,32,2e20,heavy,7664624
orx-rayon,32,2e20,light,2670291
