method,num_threads,n,task,time (ns)
seq,4,2e16,heavy,3114903
seq,4,2e16,light,640765
seq,4,2e20,heavy,49721859
seq,4,2e20,light,9750317
seq,8,2e16,heavy,2843137
seq,8,2e16,light,568980
seq,8,2e20,heavy,47401182
seq,8,2e20,light,9274866
seq,16,2e16,heavy,2782090
seq,16,2e16,light,559986
seq,16,2e20,heavy,46416793
seq,16,2e20,light,9080641
rayon,4,2e16,heavy,2454132
rayon,4,2e16,light,2076414
rayon,4,2e20,heavy,39613854
rayon,4,2e20,light,34499409
rayon,8,2e16,heavy,1687527
rayon,8,2e16,light,1543048
rayon,8,2e20,heavy,26530740
rayon,8,2e20,light,23276737
rayon,16,2e16,heavy,3875259
rayon,16,2e16,light,3272950
rayon,16,2e20,heavy,16543555
rayon,16,2e20,light,14128675
orx-once,4,2e16,heavy,1505311
orx-once,4,2e16,light,435350
orx-once,4,2e20,heavy,18538423
orx-once,4,2e20,light,4363916
orx-once,8,2e16,heavy,1099033
orx-once,8,2e16,light,633973
orx-once,8,2e20,heavy,12179968
orx-once,8,2e20,light,3149794
orx-once,16,2e16,heavy,1418281
orx-once,16,2e16,light,1121155
orx-once,16,2e20,heavy,9297588
orx-once,16,2e20,light,3180130
orx-basic,4,2e16,heavy,1328317
orx-basic,4,2e16,light,334933
orx-basic,4,2e20,heavy,18059284
orx-basic,4,2e20,light,4246848
orx-basic,8,2e16,heavy,792735
orx-basic,8,2e16,light,240430
orx-basic,8,2e20,heavy,11807530
orx-basic,8,2e20,light,2854035
orx-basic,16,2e16,heavy,745614
orx-basic,16,2e16,light,300337
orx-basic,16,2e20,heavy,7755416
orx-basic,16,2e20,light,2119988
orx-rayon,4,2e16,heavy,1285770
orx-rayon,4,2e16,light,384846
orx-rayon,4,2e20,heavy,17565020
orx-rayon,4,2e20,light,4165239
orx-rayon,8,2e16,heavy,866038
orx-rayon,8,2e16,light,404812
orx-rayon,8,2e20,heavy,11411645
orx-rayon,8,2e20,light,3055800
orx-rayon,16,2e16,heavy,1103663
orx-rayon,16,2e16,light,886312
orx-rayon,16,2e20,heavy,8871964
orx-rayon,16,2e20,light,2931286
