method,num_threads,items,population,heavy,time (ns)
orx-once,32,50,10000,true,409642735
orx-once,32,50,50000,false,1017677072
orx-once,32,50,50000,true,1062753439
orx-once,32,100,10000,false,404443114
orx-once,32,100,10000,true,427164545
orx-once,32,100,50000,false,1089138776
orx-once,32,100,50000,true,1157880881
orx-basic,4,50,10000,false,131465791
orx-basic,4,50,10000,true,182089232
orx-basic,4,50,50000,false,587801124
orx-basic,4,50,50000,true,834328640
orx-basic,4,100,10000,false,208304885
orx-basic,4,100,10000,true,248638571
orx-basic,4,100,50000,false,1119220321
orx-basic,4,100,50000,true,1354948254
orx-basic,8,50,10000,false,125601903
orx-basic,8,50,10000,true,157459264
orx-basic,8,50,50000,false,527361151
orx-basic,8,50,50000,true,704772782
orx-basic,8,100,10000,false,192554682
orx-basic,8,100,10000,true,222707408
orx-basic,8,100,50000,false,1006484784
orx-basic,8,100,50000,true,1183676863
orx-basic,16,50,10000,false,134586891
orx-basic,16,50,10000,true,161242969
orx-basic,16,50,50000,false,487729074
orx-basic,16,50,50000,true,606279517
orx-basic,16,100,10000,false,198194503
orx-basic,16,100,10000,true,229494966
orx-basic,16,100,50000,false,984808180
orx-basic,16,100,50000,true,1076566524
orx-basic,20,50,10000,false,135745549
orx-basic,20,50,10000,true,151430630
orx-basic,20,50,50000,false,491685358
orx-basic,20,50,50000,true,600775203
orx-basic,20,100,10000,false,263534389
orx-basic,20,100,10000,true,290494931
orx-basic,20,100,50000,false,1366799547
orx-basic,20,100,50000,true,1512138690
orx-basic,24,50,10000,false,138210231
orx-basic,24,50,10000,true,150326171
orx-basic,24,50,50000,false,466437680
orx-basic,24,50,50000,true,552945510
orx-basic,24,100,10000,false,247656393
orx-basic,24,100,10000,true,297081904
orx-basic,24,100,50000,false,1340849692
orx-basic,24,100,50000,true,1481370502
orx-basic,28,50,10000,false,150578917
orx-basic,28,50,10000,true,167106610
orx-basic,28,50,50000,false,482641922
orx-basic,28,50,50000,true,558328566
orx-basic,28,100,10000,false,224234228
orx-basic,28,100,10000,true,248442830
orx-basic,28,100,50000,false,1168183576
orx-basic,28,100,50000,true,1370873693
orx-basic,32,50,10000,false,141175401
orx-basic,32,50,10000,true,164591019
orx-basic,32,50,50000,false,504258494
orx-basic,32,50,50000,true,530044424
orx-basic,32,100,10000,false,205857382
orx-basic,32,100,10000,true,231900593
orx-basic,32,100,50000,false,899954928
orx-basic,32,100,50000,true,972463407
orx-rayon,4,50,10000,false,156592442
orx-rayon,4,50,10000,true,211541428
orx-rayon,4,50,50000,false,651182875
orx-rayon,4,50,50000,true,912639410
orx-rayon,4,100,10000,false,246802554
orx-rayon,4,100,10000,true,289009910
orx-rayon,4,100,50000,false,1162063481
orx-rayon,4,100,50000,true,1391582350
orx-rayon,8,50,10000,false,134535403
orx-rayon,8,50,10000,true,172286284
orx-rayon,8,50,50000,false,550241154
orx-rayon,8,50,50000,true,723518529
orx-rayon,8,100,10000,false,242481680
orx-rayon,8,100,10000,true,276178200
orx-rayon,8,100,50000,false,1182901460
orx-rayon,8,100,50000,true,1441085206
orx-rayon,16,50,10000,false,192719397
orx-rayon,16,50,10000,true,209563227
orx-rayon,16,50,50000,false,531706444
orx-rayon,16,50,50000,true,623081742
orx-rayon,16,100,10000,false,329923014
orx-rayon,16,100,10000,true,358998826
orx-rayon,16,100,50000,false,1494827277
orx-rayon,16,100,50000,true,1449850310
orx-rayon,20,50,10000,false,224619424
orx-rayon,20,50,10000,true,244698422
orx-rayon,20,50,50000,false,579017770
orx-rayon,20,50,50000,true,639948015
orx-rayon,20,100,10000,false,397729018
orx-rayon,20,100,10000,true,393555557
orx-rayon,20,100,50000,false,1149881453
orx-rayon,20,100,50000,true,1258516932
orx-rayon,24,50,10000,false,258705953
orx-rayon,24,50,10000,true,286614754
orx-rayon,24,50,50000,false,635479206
orx-rayon,24,50,50000,true,696156994
orx-rayon,24,100,10000,false,370851010
orx-rayon,24,100,10000,true,421758228
orx-rayon,24,100,50000,false,1573821750
orx-rayon,24,100,50000,true,1590117156
orx-rayon,28,50,10000,false,290845505
orx-rayon,28,50,10000,true,312485771
orx-rayon,28,50,50000,false,679878633
orx-rayon,28,50,50000,true,746622364
